iter	Logloss
0	0.5511943773
1	0.439898732
2	0.351000712
3	0.2834002887
4	0.2284356739
5	0.1891475535
6	0.1542682894
7	0.1299079359
8	0.1107366923
9	0.09734080398
10	0.0844523548
11	0.07455228576
12	0.06668467747
13	0.06077693644
14	0.05561142844
15	0.05158458564
16	0.04858000087
17	0.04608209581
18	0.04368818394
19	0.04146579595
20	0.03998384758
21	0.03852963217
22	0.03734676594
23	0.03638933012
24	0.03547934357
25	0.03467128567
26	0.0338553376
27	0.03331691419
28	0.03260798581
29	0.0319950477
30	0.03157398294
31	0.03099770112
32	0.03057336529
33	0.03014077693
34	0.02990113074
35	0.02961968246
36	0.02928688806
37	0.02899655134
38	0.02866806346
39	0.02847811065
40	0.02819085706
41	0.02790292491
42	0.02775998808
43	0.02730905824
44	0.02699257447
45	0.02687762362
46	0.02659960277
47	0.02634644483
48	0.0261139024
49	0.02591683327
50	0.0257766968
51	0.02559721649
52	0.02536831481
53	0.02519596269
54	0.02486256706
55	0.02466857466
56	0.02453499835
57	0.02444602981
58	0.02418528787
59	0.02398365688
60	0.02371997297
61	0.02363317143
62	0.02339456085
63	0.02318092667
64	0.02307416526
65	0.02295002893
66	0.02282319169
67	0.02277139476
68	0.02259256596
69	0.02245686585
70	0.02235133782
71	0.0222155662
72	0.02206506508
73	0.02194398705
74	0.02189518633
75	0.02170850334
76	0.02162098556
77	0.02155281409
78	0.02150897372
79	0.0214255367
80	0.02129870089
81	0.02114328471
82	0.02102935585
83	0.02096269747
84	0.02070493938
85	0.02057146969
86	0.02044715607
87	0.02040434624
88	0.02036543203
89	0.02025109502
90	0.02016139761
91	0.02011972705
92	0.02006163472
93	0.01997218868
94	0.01983523407
95	0.01973322436
96	0.01962008587
97	0.01956351688
98	0.01947680129
99	0.01941745084
100	0.01931207351
101	0.01921358954
102	0.01915851265
103	0.01911974145
104	0.01898491466
105	0.01892792379
106	0.01888328316
107	0.01867154981
108	0.01859074986
109	0.01849560675
110	0.01842867403
111	0.01839141137
112	0.01824154304
113	0.01816419022
114	0.01811875081
115	0.01807336762
116	0.01794671877
117	0.01792008891
118	0.01782625476
119	0.0176952276
120	0.01768172418
121	0.01762999145
122	0.01751739851
123	0.01737175536
124	0.01731771047
125	0.01726585794
126	0.01718759914
127	0.01714977588
128	0.01706384718
